accel_y (g)_mean,accel_y (g)_std,accel_y (g)_mad,accel_y (g)_min,accel_y (g)_max,accel_y (g)_range,accel_y (g)_iqr,accel_x (g)_mean,accel_x (g)_std,accel_x (g)_mad,accel_x (g)_min,accel_x (g)_max,accel_x (g)_range,accel_x (g)_iqr,accel_z (g)_mean,accel_z (g)_std,accel_z (g)_mad,accel_z (g)_min,accel_z (g)_max,accel_z (g)_range,accel_z (g)_iqr,gyro_y (°/s)_mean,gyro_y (°/s)_std,gyro_y (°/s)_mad,gyro_y (°/s)_min,gyro_y (°/s)_max,gyro_y (°/s)_range,gyro_y (°/s)_iqr,gyro_x (°/s)_mean,gyro_x (°/s)_std,gyro_x (°/s)_mad,gyro_x (°/s)_min,gyro_x (°/s)_max,gyro_x (°/s)_range,gyro_x (°/s)_iqr,gyro_z (°/s)_mean,gyro_z (°/s)_std,gyro_z (°/s)_mad,gyro_z (°/s)_min,gyro_z (°/s)_max,gyro_z (°/s)_range,gyro_z (°/s)_iqr,accel_mag_mean,accel_mag_std,accel_peak_count,accel_peak_amplitude,gyro_mag_mean,gyro_mag_std,gyro_peak_count,gyro_peak_amplitude,jerk_y (g)_mean,jerk_y (g)_std,jerk_x (g)_mean,jerk_x (g)_std,jerk_z (g)_mean,jerk_z (g)_std,accel_dominant_freq,accel_dominant_power,accel_low_band_energy,accel_mid_band_energy,gyro_dominant_freq,gyro_dominant_power,gyro_low_band_energy,gyro_mid_band_energy,gyro_rotation_mean,gyro_rotation_std,accel_corr_xy,accel_corr_xz,accel_corr_yz,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,shot_type
-0.054079461,2.239147596,1.328835735,-1.934307249,5.465723804,7.400031053,2.069419471,-0.025980667,0.459229665,0.302110691,-1.247051426,0.697902468,1.944953894,0.364495457,0.021995561,0.926283272,0.736140084,-2.226667493,2.535926742,4.762594235,1.060633693,22.5140939,167.3625168,83.86666384,-347.7402908,392.6225798,740.3628706,100.1464692,-13.79831953,320.2225234,87.58807229,-969.8609309,415.6863145,1385.547245,177.572118,-9.034662335,174.2489882,35.16586235,-384.569507,419.0460404,803.6155474,91.87369507,2.013587919,1.425560107,1,5.58725807,286.770766,281.8808566,3,754.1774155,0.890093359,1.25428201,0.405582953,0.600965536,0.617588518,0.909452135,0,0,0,0,0,0,0,0,115.179167,88.73107104,-0.066120527,0.021290439,-0.200347629,0.648892704,0.371968869,0.816091599,clear
-0.006379085,2.547669342,0.85572887,-2.505891064,5.688967157,8.194858221,3.736382779,-0.109843548,0.646616974,0.302804529,-1.625689025,1.318719897,2.944408922,0.3946411,-0.044016326,0.878559653,0.837213288,-2.226667493,1.793500191,4.020167684,1.002285516,-1.787066798,187.7020229,124.0575785,-469.0672314,392.6225798,861.6898111,181.8464899,-24.40328902,332.6974048,109.9388402,-893.2589135,513.0980396,1406.356953,146.3501422,14.69228578,196.9426226,66.23194155,-340.9573922,484.5369607,825.4943529,114.9748216,2.4672228,1.267854503,1,5.689873415,317.2869299,291.2895306,3,790.8345559,0.938188099,1.320216346,0.49345897,0.686863706,0.509546942,0.721070186,0,0,0,0,0,0,0,0,130.4295513,93.58326279,-0.331026523,-0.058307534,0.236928289,0.637904244,0.193730099,0.703050122,clear
-0.066845839,2.4224902,0.795152824,-2.505891064,5.688967157,8.194858221,2.193260689,-0.003969534,0.596279772,0.349446888,-1.625689025,1.318719897,2.944408922,0.458242132,0.024992748,0.73677043,0.562888106,-1.22768639,1.793500191,3.021186581,0.772698357,4.578189459,192.4151534,95.93128178,-469.0672314,471.2501372,940.3173686,191.0958686,-14.53051383,315.6527601,102.8591136,-893.2589135,513.0980396,1406.356953,135.9350311,2.302809437,194.9202978,43.27502974,-340.9573922,484.5369607,825.4943529,63.97570271,2.213294094,1.368677103,1,5.689873415,298.1489668,293.2554704,3,795.7900751,0.889805236,1.240439555,0.49364387,0.697897097,0.512606896,0.661561092,0,0,0,0,0,0,0,0,118.507668,93.0816098,-0.358372711,0.137368046,0.079360034,0.614299155,0.056985657,0.677999972,clear
0.027080117,2.362237959,0.618211052,-2.16913962,5.593650697,7.762790318,2.369040686,0.008111025,0.555892197,0.358462276,-1.563013139,0.837297476,2.400310614,0.43971305,-0.056010899,0.830362486,0.712677601,-1.928353157,1.467176256,3.395529412,0.986237215,0.377316102,191.6813955,120.2896447,-463.1305202,471.2501372,934.3806574,181.5533528,-13.32514993,324.1637289,106.8431644,-949.4177644,449.6837253,1399.10149,150.1833339,0.119369894,206.611903,45.97581483,-410.5052665,451.1500513,861.6553177,95.65430136,2.161872288,1.381640589,1,5.647017726,311.7073918,295.8522893,2,873.7632038,0.772843694,1.101995652,0.413337305,0.63303052,0.481295412,0.672967898,0,0,0,0,0,0,0,0,125.6772542,97.51296671,-0.168458927,-0.107509463,0.10087285,0.617836841,0.159478105,0.707868964,clear
0.024886446,2.357847014,0.369541736,-2.16913962,5.593650697,7.762790318,2.335975862,0.016313912,0.550959101,0.262386203,-1.563013139,0.837297476,2.400310614,0.39456478,-0.014925465,0.79342668,0.68575808,-1.928353157,1.467176256,3.395529412,0.897034962,-8.512507898,186.5324836,119.2653759,-463.1305202,464.7957286,927.9262489,178.2775997,-12.36932899,326.9864816,93.32249365,-949.4177644,449.6837253,1399.10149,130.7174019,-2.264592535,207.5656107,53.9080544,-410.5052665,451.1500513,861.6553177,106.7344941,2.130945708,1.397391501,1,5.647017726,310.3933757,297.7995184,3,790.4213677,0.843756513,1.179905762,0.476662961,0.711879774,0.505488382,0.710035365,0,0,0,0,0,0,0,0,124.2943738,97.89120492,-0.192681335,-0.124243808,0.173690388,0.63654818,0.206110581,0.711626379,clear
-0.021860539,2.394159026,0.533595505,-2.322102694,5.711236444,8.033339138,2.037815963,-0.00683999,0.51333,0.367920449,-1.62371711,0.884709762,2.508426872,0.39805766,0.030589521,0.678467858,0.640341686,-1.426992443,1.575037219,3.002029662,0.767333384,-13.39373988,196.9797117,100.3611157,-518.7863457,464.7957286,983.5820743,120.6649849,-22.88957786,322.3239087,54.92053785,-912.3700101,433.9384662,1346.308476,107.2634561,1.274731394,197.9552585,54.15429662,-378.964453,504.3246387,883.2890917,93.34116114,2.126696168,1.39084419,1,5.736957141,292.4051136,311.5833643,2,886.5989308,0.774577944,1.138438391,0.380669613,0.562395992,0.397663095,0.556593267,0,0,0,0,0,0,0,0,116.4490605,97.78773659,-0.228440649,-0.016221341,0.320186228,0.704851906,0.199845065,0.668982948,clear
-0.02152101,2.401154807,0.748643319,-2.322102694,5.711236444,8.033339138,2.182460815,-0.015434397,0.528340051,0.454802664,-1.62371711,0.884709762,2.508426872,0.490594413,0.014329516,0.698398147,0.669973355,-1.426992443,1.575037219,3.002029662,0.849849703,-0.751921998,210.4851247,102.5753194,-518.7863457,478.2756338,997.0619794,127.318729,-17.672811,322.9212421,94.95011787,-912.3700101,433.9384662,1346.308476,142.4723881,9.096075108,196.4532973,50.87841903,-378.964453,504.3246387,883.2890917,83.77499393,2.153590331,1.376736352,1,5.736957141,302.8021114,309.6490398,3,795.8264783,0.875230835,1.213564494,0.461545536,0.642158731,0.484974573,0.649793432,0,0,0,0,0,0,0,0,121.7611813,97.19418904,-0.219208959,-0.013433309,0.257176613,0.689562819,0.209927461,0.687086652,clear
0.038055509,2.43156788,0.712181686,-2.270426331,5.710127771,7.980554102,2.328161765,-0.003829379,0.644574514,0.433441729,-1.680958431,1.341567878,3.022526308,0.490217791,0.011793601,0.686909719,0.813696455,-1.363347195,1.540099424,2.903446619,1.031989997,10.66110662,212.4115174,162.0893626,-499.7193271,478.2756338,977.9949609,203.2728339,0.667934867,318.981332,134.3383646,-932.7983812,467.9438379,1400.742219,216.2232173,13.95572692,202.6092637,35.19101216,-341.410999,482.8370004,824.2479994,72.95375779,2.20095775,1.399010573,1,5.713125282,323.2020055,289.4263082,2,891.1994673,0.803294952,1.183901549,0.449340825,0.637570303,0.471415066,0.60247255,0,0,0,0,0,0,0,0,127.9289488,98.01312889,-0.375784365,0.142322718,0.021908907,0.634891485,0.206967946,0.742548503,clear
-0.045008751,2.465496188,0.468297821,-2.270426331,5.710127771,7.980554102,2.366342799,-0.007335632,0.627607282,0.266790003,-1.680958431,1.341567878,3.022526308,0.285516122,-0.012989703,0.675535368,0.713002143,-1.363347195,1.540099424,2.903446619,0.873890707,0.414413316,197.043574,99.60046472,-499.7193271,455.739526,955.4588531,198.8575234,-15.08990595,314.4091781,96.03075253,-932.7983812,467.9438379,1400.742219,195.6017993,2.554698251,205.6334159,56.79143444,-341.410999,482.8370004,824.2479994,79.86331671,2.250656374,1.365907978,1,5.713125282,311.5979788,288.2802562,3,787.9733602,0.895376813,1.247974998,0.504994247,0.747167376,0.460953701,0.599837734,0,0,0,0,0,0,0,0,122.1355702,98.02423769,-0.358909544,0.163720643,0.037025679,0.627600158,0.162381822,0.725425249,clear
-0.054646228,2.359469825,0.643566494,-2.193711905,5.678756309,7.872468214,2.208709152,-0.031576281,0.508908597,0.213147384,-1.479170389,0.895284154,2.374454544,0.28465199,-0.042931343,0.788471151,0.637508402,-1.710875628,1.801849058,3.512724686,0.776091425,18.7361391,221.6187982,107.8579932,-471.6416522,532.1778546,1003.819507,205.83237,-8.211320433,324.949569,56.69710239,-883.3477464,480.7336768,1364.081423,147.5017451,-1.06986272,195.847121,84.14243865,-375.0521662,426.5117613,801.5639274,123.3218996,2.122398721,1.396074001,1,5.684033592,323.6630968,297.8674572,2,871.6272235,0.863000689,1.201551982,0.418251579,0.6270818,0.510334101,0.730782592,0,0,0,0,0,0,0,0,128.8568472,90.47414298,-0.369881918,-0.017266096,0.185220544,0.610793548,0.148112797,0.63708313,clear
