Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-10-20,13:09:12.597,0.07543,-0.90406,-0.30826,35.61196,-18.08796,9.54632,0.11491,-0.36313,0.2121,4.0
2025-10-20,13:09:12.698,0.14208,-0.88835,-0.43229,8.82847,1.09893,4.89099,0.1063,-0.379,0.2121,104.0
2025-10-20,13:09:12.795,0.17734,-0.89161,-0.61105,-8.24597,-13.88804,6.77417,0.09743,-0.38178,0.2121,204.0
2025-10-20,13:09:12.898,0.37348,-1.14628,-0.97906,-8.6053,0.33193,1.50472,0.09065,-0.38128,0.2121,304.0
2025-10-20,13:09:12.998,0.97901,-1.45141,-1.39941,58.15283,-110.26238,114.29607,0.04292,-0.40476,0.2121,404.0
2025-10-20,13:09:13.098,0.89681,-0.25448,-0.5768,268.16918,-145.03149,349.69092,-0.20453,-0.47218,0.2121,504.0
2025-10-20,13:09:13.198,-0.18626,1.82924,0.0012,368.55,-151.2812,444.2732,-0.51067,-0.26804,0.2121,604.0
2025-10-20,13:09:13.298,-0.53402,3.71379,0.70723,444.40746,-317.99824,257.81431,-0.44339,0.21109,0.2121,704.0
2025-10-20,13:09:13.398,-0.0193,6.90355,2.64598,-367.3887,-197.50458,-508.61158,-0.33144,0.28995,0.2121,804.0
2025-10-20,13:09:13.498,2.75895,7.34383,-4.65152,-1565.6396,-699.7928,-382.6872,-0.18231,-0.25604,0.2121,904.0
2025-10-20,13:09:13.597,-2.11738,2.75813,-2.10754,72.24578,50.0612,207.73311,-0.28808,0.33633,0.2121,1004.0
2025-10-20,13:09:13.698,0.14907,1.87844,-1.3752,419.78856,320.07386,137.15787,-0.05454,0.07121,0.2121,1104.0
2025-10-20,13:09:13.798,0.29807,0.24837,-1.79523,253.07278,226.83552,62.2645,0.11188,-0.19345,0.2121,1204.0
2025-10-20,13:09:13.898,0.55347,-0.54267,-1.48663,156.25291,72.70151,3.71911,0.16766,-0.29972,0.2121,1304.0
2025-10-20,13:09:13.993,0.63916,-0.69773,-0.82133,93.08562,-37.56892,-29.08507,0.18458,-0.32977,0.2121,1404.0
2025-10-20,13:09:14.098,0.53693,-0.5261,-0.43458,62.32456,-79.48037,-6.72425,0.19089,-0.34088,0.2121,1504.0
2025-10-20,13:09:14.195,0.23808,-0.69539,-0.19036,55.4458,-104.1071,-17.82038,0.17667,-0.35871,0.2121,1604.0
2025-10-20,13:09:14.298,0.41881,-1.03006,-0.11335,44.4074,-64.38384,-39.96326,0.17902,-0.36133,0.2121,1704.0
2025-10-20,13:09:14.398,0.40426,-1.03838,-0.33769,18.48032,-36.10664,-6.25828,0.18366,-0.3622,0.2121,1804.0
2025-10-20,13:09:14.498,0.30138,-0.91394,-0.42296,1.84014,-16.74009,-7.37004,0.18003,-0.36486,0.2121,1904.0
2025-10-20,13:09:14.597,0.39572,-0.83549,-0.45957,-8.29592,-15.63713,-1.47895,0.18087,-0.36127,0.2121,2004.0
2025-10-20,13:09:14.698,0.36516,-0.93397,-0.73191,-4.48513,4.48352,-1.76615,0.17574,-0.36057,0.2121,2104.0
2025-10-20,13:09:14.797,1.14099,-1.46912,-1.51008,-5.14014,-28.67117,3.67294,0.18786,-0.35637,0.2121,2204.0
2025-10-20,13:09:14.898,2.08818,-1.1159,-0.85765,99.87731,-305.48845,198.3555,0.07121,-0.40829,0.2121,2304.0
2025-10-20,13:09:14.998,1.27021,1.41536,-0.26824,361.2084,-154.0196,480.9924,-0.32497,-0.44465,0.2121,2404.0
2025-10-20,13:09:15.098,-0.21496,3.57664,0.1327,445.3792,-221.354,521.1108,-0.56383,-0.02954,0.2121,2504.0
2025-10-20,13:09:15.198,-0.80063,5.75332,1.29172,324.2232,-401.6236,92.0808,-0.32444,0.43422,0.2121,2604.0
2025-10-20,13:09:15.297,3.10988,7.85523,0.16328,-1218.798,-195.8936,-1059.0468,-0.31967,0.00833,0.2121,2704.0
2025-10-20,13:09:15.398,-2.31289,5.18566,-3.61129,-894.15962,-911.40247,630.49447,-0.28645,0.1205,0.2121,2804.0
2025-10-20,13:09:15.498,-0.48382,2.96718,-0.82784,391.38835,363.80374,-107.25277,-0.23331,0.31386,0.2121,2904.0
2025-10-20,13:09:15.598,0.42471,1.31919,-1.25767,280.5104,254.09479,103.87392,-0.00466,0.01678,0.2121,3004.0
2025-10-20,13:09:15.698,0.56661,0.16247,-1.93918,169.4376,185.0981,26.08262,0.13736,-0.15125,0.2121,3104.0
2025-10-20,13:09:15.797,0.75184,-0.41183,-1.56468,126.06709,81.12876,-3.34333,0.20045,-0.22585,0.2121,3204.0
2025-10-20,13:09:15.898,0.73608,-0.50746,-0.82807,114.32615,-6.05054,7.25838,0.22195,-0.27144,0.2121,3304.0
2025-10-20,13:09:15.998,0.53624,-0.52856,-0.49993,87.58132,-76.51956,20.17113,0.202,-0.31815,0.2121,3404.0
2025-10-20,13:09:16.098,0.36797,-0.54064,-0.32256,68.99788,-84.33772,-1.83969,0.177,-0.35148,0.2121,3504.0
2025-10-20,13:09:16.198,0.09731,-0.77672,-0.02804,56.96125,-89.71714,-38.04304,0.16572,-0.36873,0.2121,3604.0
2025-10-20,13:09:16.298,0.27564,-1.2109,-0.18716,13.57625,-56.59387,-27.04461,0.17145,-0.36663,0.2121,3704.0
2025-10-20,13:09:16.398,0.40414,-1.00583,-0.6098,-6.00703,-10.48411,-21.47561,0.17574,-0.35754,0.2121,3804.0
2025-10-20,13:09:16.498,0.38268,-0.67966,-0.53473,-10.99812,-11.50891,2.96004,0.18205,-0.35098,0.2121,3904.0
2025-10-20,13:09:16.598,0.35211,-0.80399,-0.62739,-9.77271,-19.16675,2.57997,0.17201,-0.35055,0.2121,4004.0
2025-10-20,13:09:16.694,0.55573,-1.07807,-1.10516,-1.55493,-29.17068,0.48958,0.16463,-0.34946,0.2121,4104.0
2025-10-20,13:09:16.797,1.23082,-1.35442,-1.37939,15.85627,-138.75146,72.35623,0.12306,-0.3636,0.2121,4204.0
2025-10-20,13:09:16.898,1.64984,-0.40999,-0.69465,221.86391,-298.49759,308.88863,-0.12575,-0.44415,0.2121,4304.0
2025-10-20,13:09:16.994,0.26129,1.94137,0.03161,393.512,-86.5788,483.4816,-0.49692,-0.31563,0.2121,4404.0
2025-10-20,13:09:17.098,-0.3048,3.54418,0.10895,397.0764,-272.7676,437.3124,-0.53151,0.17448,0.2121,4504.0
2025-10-20,13:09:17.197,-0.3957,5.27891,0.92484,201.1436,-421.7136,-64.2544,-0.28132,0.48224,0.2121,4604.0
2025-10-20,13:09:17.295,3.49102,7.87922,-0.73055,-1237.7708,-219.5984,-1046.4916,-0.32396,-0.03964,0.2121,4704.0
2025-10-20,13:09:17.398,-1.91496,5.2618,-4.41387,-907.0882,-848.61515,562.29856,-0.2713,0.11118,0.2121,4804.0
2025-10-20,13:09:17.497,-0.46027,3.10199,-1.33172,443.33249,382.41779,-39.04081,-0.22372,0.28482,0.2121,4904.0
2025-10-20,13:09:17.598,0.29809,1.21305,-1.2907,339.34134,259.82639,165.8457,0.0331,-0.0613,0.2121,5004.0
2025-10-20,13:09:17.697,0.53107,-0.12431,-1.61884,185.58875,145.65359,23.59767,0.13357,-0.25048,0.2121,5104.0
2025-10-20,13:09:17.798,0.80893,-0.50923,-1.24637,96.02791,42.8001,-21.62914,0.17691,-0.30044,0.2121,5204.0
