Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-10-20,12:52:43.082,0.42255,-0.56378,-0.68707,-48.37852,22.503,21.53734,0.15686,-0.21536,0.2121,4.0
2025-10-20,12:52:43.183,0.35928,-0.51524,-0.86623,-37.59954,9.11206,24.22146,0.15933,-0.20478,0.2121,104.0
2025-10-20,12:52:43.282,0.21738,-0.48116,-0.85013,-24.5502,3.897,13.44366,0.15127,-0.20045,0.2121,204.0
2025-10-20,12:52:43.382,0.07804,-0.49474,-0.9606,-15.42444,38.54539,0.21741,0.16337,-0.18736,0.2121,304.0
2025-10-20,12:52:43.479,0.12556,-0.45465,-0.93805,1.10134,-4.76792,31.04877,0.16413,-0.19367,0.2121,404.0
2025-10-20,12:52:43.583,0.20227,-0.39856,-0.92144,2.39524,-3.0728,27.24592,0.14999,-0.20932,0.2121,504.0
2025-10-20,12:52:43.681,0.21573,-0.42436,-0.85807,2.0762,-4.11855,19.90486,0.13845,-0.22445,0.2121,604.0
2025-10-20,12:52:43.783,0.2583,-0.48499,-0.83478,1.3366,-1.32935,8.62728,0.13029,-0.23104,0.2121,704.0
2025-10-20,12:52:43.882,0.23741,-0.54598,-0.8154,0.17161,0.93457,6.00651,0.12726,-0.23494,0.2121,804.0
2025-10-20,12:52:43.981,0.24417,-0.56371,-0.8848,-3.25569,4.12742,2.18004,0.12701,-0.23508,0.2121,904.0
2025-10-20,12:52:44.079,0.23526,-0.55593,-0.88817,4.18784,0.61392,3.63,0.12726,-0.23727,0.2121,1004.0
2025-10-20,12:52:44.180,0.23897,-0.56011,-0.88093,1.2238,-1.77891,2.57782,0.12448,-0.23962,0.2121,1104.0
2025-10-20,12:52:44.282,0.22648,-0.55322,-0.85919,3.45227,-3.78501,5.60121,0.12003,-0.24333,0.2121,1204.0
2025-10-20,12:52:44.383,0.19698,-0.54963,-0.86238,4.16609,-4.60598,3.75722,0.1164,-0.2477,0.2121,1304.0
2025-10-20,12:52:44.481,0.1109,-0.7373,-1.16269,18.16772,-25.13511,12.22615,0.10731,-0.25452,0.2121,1404.0
2025-10-20,12:52:44.583,-0.0604,-1.06936,-1.44668,111.15264,-126.27576,40.18496,0.05606,-0.29745,0.2121,1504.0
2025-10-20,12:52:44.683,0.03255,-0.76785,-0.90269,224.91643,-233.29937,46.85929,-0.06177,-0.39716,0.2121,1604.0
2025-10-20,12:52:44.782,0.14725,0.09462,0.19958,311.0822,-202.82271,-19.7567,-0.14645,-0.47622,0.2121,1704.0
2025-10-20,12:52:44.882,-0.05467,1.26355,2.67781,170.2744,-69.6763,-14.85202,-0.09999,-0.43842,0.2121,1804.0
2025-10-20,12:52:44.981,-0.44016,0.20606,-4.08265,-424.82242,68.41541,95.48579,-0.14721,-0.44112,0.2121,1904.0
2025-10-20,12:52:45.083,-0.80526,-1.0027,0.2462,141.50896,-19.16945,-2.46083,-0.16595,-0.46615,0.2121,2004.0
2025-10-20,12:52:45.182,-0.12604,-0.71828,-0.14793,10.82893,110.29058,-52.65805,-0.14191,-0.47748,0.2121,2104.0
2025-10-20,12:52:45.281,0.13785,-0.71189,0.25294,-60.98635,253.25325,-92.92837,-0.05221,-0.47291,0.2121,2204.0
2025-10-20,12:52:45.382,0.08661,-0.53029,-0.07945,-89.87585,119.97708,-48.60342,0.04394,-0.43935,0.2121,2304.0
