Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-10-20,12:57:49.357,-0.87836,-0.31993,-0.08291,14.46409,10.60898,20.50825,-0.46522,-0.21979,0.2121,4.0
2025-10-20,12:57:49.457,-0.92269,-0.26889,-0.04845,22.03411,13.53193,4.09542,-0.46442,-0.21981,0.2121,104.0
2025-10-20,12:57:49.557,-0.88339,-0.27981,-0.11039,22.2887,3.24119,-8.03731,-0.46103,-0.22772,0.2121,204.0
2025-10-20,12:57:49.657,-0.94872,-0.41755,-0.22246,2.24377,1.99966,-3.32991,-0.45753,-0.23836,0.2121,304.0
2025-10-20,12:57:49.757,-0.95963,-0.43351,-0.29419,-0.54382,-2.56362,1.41077,-0.458,-0.23541,0.2121,404.0
2025-10-20,12:57:49.857,-0.84731,-0.43925,-0.12002,9.49878,-9.79849,-7.49298,-0.46006,-0.24139,0.2121,504.0
2025-10-20,12:57:49.957,-0.86061,-0.45464,-0.13135,-8.11223,3.05105,-7.27234,-0.45776,-0.2459,0.2121,604.0
2025-10-20,12:57:50.057,-0.94678,-0.48569,-0.22889,-1.01353,-0.62681,-5.59531,-0.45501,-0.24669,0.2121,704.0
2025-10-20,12:57:50.157,-0.84099,-0.50122,-0.16882,10.61624,-6.37361,-7.02862,-0.4545,-0.25289,0.2121,804.0
2025-10-20,12:57:50.256,-0.6024,-0.58967,-0.38982,27.56418,44.8916,-7.26268,-0.44895,-0.2626,0.2121,904.0
2025-10-20,12:57:50.356,-0.27288,-0.37055,-0.29616,75.00088,92.02859,67.07712,-0.43096,-0.26874,0.2121,1004.0
2025-10-20,12:57:50.457,-0.56424,0.05936,-0.30927,109.08853,74.2645,211.26994,-0.44899,-0.21954,0.2121,1104.0
2025-10-20,12:57:50.557,-1.08401,0.70934,-0.16593,205.74324,-29.60332,270.15675,-0.49482,-0.11071,0.2121,1204.0
2025-10-20,12:57:50.657,-1.1908,2.33035,1.5024,274.5372,-190.372,314.7172,-0.52823,0.03358,0.2121,1304.0
2025-10-20,12:57:50.757,-1.44895,5.59535,-0.05852,-344.3552,15.5568,537.5888,-0.44471,0.27923,0.2121,1404.0
2025-10-20,12:57:50.857,-0.65211,2.7581,-1.1481,-722.2376,600.404,-512.8256,-0.55197,-0.09343,0.2121,1504.0
2025-10-20,12:57:50.957,0.27996,-0.0772,-0.5434,-57.31922,70.94156,-191.05396,-0.38131,-0.40346,0.2121,1604.0
2025-10-20,12:57:51.057,-0.09351,-0.23162,-0.05105,113.24978,31.49824,11.42091,-0.3333,-0.43632,0.2121,1704.0
2025-10-20,12:57:51.157,-0.11314,-0.35402,0.1546,101.39604,37.57375,59.76559,-0.35241,-0.42816,0.2121,1804.0
2025-10-20,12:57:51.257,-0.27415,-0.34356,0.19778,45.03743,86.38008,85.05371,-0.40425,-0.38809,0.2121,1904.0
2025-10-20,12:57:51.357,-0.339,-0.59803,0.45608,-49.89075,149.42007,160.85635,-0.45147,-0.32281,0.2121,2004.0
2025-10-20,12:57:51.457,-2.17561,-1.29079,-0.07753,-53.96741,95.0031,107.84292,-0.49582,-0.19227,0.2121,2104.0
2025-10-20,12:57:51.557,-1.23076,-0.77896,0.05068,17.78826,-8.1936,-4.79651,-0.49552,-0.16479,0.2121,2204.0
2025-10-20,12:57:51.657,-0.84787,-0.4078,-0.02233,9.62043,-10.8241,-26.67581,-0.49389,-0.18079,0.2121,2304.0
2025-10-20,12:57:51.757,-0.80452,-0.38788,-0.1133,3.94856,-12.31699,-11.82568,-0.49342,-0.19648,0.2121,2404.0
2025-10-20,12:57:51.857,-0.87265,-0.43304,-0.07679,0.06929,-3.97354,-7.13975,-0.49288,-0.20149,0.2121,2504.0
2025-10-20,12:57:51.957,-0.82483,-0.55808,-0.26055,28.41738,17.30889,-0.53951,-0.49249,-0.20744,0.2121,2604.0
2025-10-20,12:57:52.057,-0.54878,-0.72415,-0.51061,135.95662,166.24233,46.71327,-0.47192,-0.22447,0.2121,2704.0
2025-10-20,12:57:52.157,-0.58589,-0.16597,-0.18826,205.87695,119.37816,214.10513,-0.46476,-0.20348,0.2121,2804.0
2025-10-20,12:57:52.256,-0.73998,1.03402,0.19165,246.0612,-14.2212,298.4268,-0.51359,-0.0957,0.2121,2904.0
2025-10-20,12:57:52.357,-0.80457,3.60688,1.53426,224.2436,-135.8504,381.8304,-0.52792,0.10465,0.2121,3004.0
2025-10-20,12:57:52.456,-1.73648,5.55918,-1.24598,-510.44,178.4328,534.0384,-0.36746,0.38123,0.2121,3104.0
2025-10-20,12:57:52.557,-0.33552,2.18686,-1.07168,-646.6964,534.0076,-527.6208,-0.50881,-0.10395,0.2121,3204.0
2025-10-20,12:57:52.657,0.6673,0.03016,-0.50205,-73.42232,107.82365,-223.04876,-0.34189,-0.44541,0.2121,3304.0
2025-10-20,12:57:52.756,0.04273,-0.15302,-0.09952,52.96274,139.21875,33.79409,-0.29135,-0.46848,0.2121,3404.0
2025-10-20,12:57:52.857,-0.17323,-0.22018,-0.00717,50.06558,146.99099,96.92716,-0.33785,-0.44061,0.2121,3504.0
2025-10-20,12:57:52.957,-0.2301,-0.2728,0.26333,11.90852,100.55251,175.18308,-0.41348,-0.37455,0.2121,3604.0
2025-10-20,12:57:53.057,-1.73247,-0.63408,0.01807,-75.88388,130.39641,235.37561,-0.49111,-0.21033,0.2121,3704.0
2025-10-20,12:57:53.157,-2.16733,-1.03253,-0.17456,-6.69346,30.03918,39.10649,-0.49785,-0.0951,0.2121,3804.0
2025-10-20,12:57:53.257,-1.18832,-0.5663,-0.11432,-5.4479,17.36448,-23.37274,-0.49086,-0.09747,0.2121,3904.0
2025-10-20,12:57:53.357,-0.854,-0.28828,-0.16704,10.84424,-12.5321,-24.47376,-0.48527,-0.11654,0.2121,4004.0
