Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-11-05,13:08:58.842,0.00031,-1.03382,-0.04608,-0.50757,-1.01675,0.99044,-0.01818,-0.48713,0.2121,4.0
2025-11-05,13:08:58.943,-0.00344,-1.02956,-0.04539,0.01934,0.46326,0.02308,-0.01869,-0.48758,0.2121,104.0
2025-11-05,13:08:59.042,-0.00556,-1.02666,-0.03554,-0.03223,-0.25781,-0.1691,-0.01888,-0.48783,0.2121,204.0
2025-11-05,13:08:59.142,-0.00399,-1.03205,-0.04148,-1.40669,0.89993,-0.90025,-0.01869,-0.48733,0.2121,304.0
2025-11-05,13:08:59.242,-0.00079,-1.0349,-0.05544,-0.93779,0.08459,-0.07891,-0.01865,-0.48783,0.2121,404.0
2025-11-05,13:08:59.342,-0.00614,-1.03298,-0.0494,0.36094,0.06929,-0.35484,-0.01894,-0.48733,0.2121,504.0
2025-11-05,13:08:59.443,-0.00163,-1.0311,-0.03743,0.98613,0.57686,-0.81919,-0.01894,-0.48758,0.2121,604.0
2025-11-05,13:08:59.542,-0.00081,-1.0308,-0.04037,-0.79922,-0.92651,0.23298,-0.01869,-0.48783,0.2121,704.0
2025-11-05,13:08:59.642,-0.00724,-1.03669,-0.05567,-0.42297,-0.04431,0.57172,-0.01935,-0.48783,0.2121,804.0
2025-11-05,13:08:59.742,-0.00522,-1.03154,-0.04095,1.40105,-0.26829,-0.19809,-0.02045,-0.48783,0.2121,904.0
2025-11-05,13:08:59.842,-0.0025,-1.0245,-0.02724,0.72671,-0.029,-0.22117,-0.02074,-0.48783,0.2121,1004.0
2025-11-05,13:08:59.942,-0.00442,-1.03217,-0.03611,-1.13921,0.65339,0.09824,-0.02121,-0.48808,0.2121,1104.0
2025-11-05,13:09:00.042,-0.00916,-1.03452,-0.04483,0.23203,0.10876,0.38114,-0.02144,-0.48806,0.2121,1204.0
2025-11-05,13:09:00.142,-0.00794,-1.02997,-0.03141,0.87173,0.77344,-0.84657,-0.02146,-0.48783,0.2121,1304.0
2025-11-05,13:09:00.242,-0.00301,-1.02676,-0.02149,-0.56396,1.34224,-0.89864,-0.02098,-0.48853,0.2121,1404.0
2025-11-05,13:09:00.343,-0.00078,-1.03703,-0.04196,-1.77407,1.7217,-0.0816,-0.02096,-0.48783,0.2121,1504.0
2025-11-05,13:09:00.442,-0.00815,-1.03404,-0.04017,-0.41975,0.67595,0.77839,-0.02121,-0.48808,0.2121,1604.0
