Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-10-20,13:12:44.825,0.27791,-0.73391,-0.66131,4.02429,-9.16846,-5.76977,0.177,-0.29341,0.2121,4.0
2025-10-20,13:12:44.925,0.30776,-0.71922,-0.71746,4.16045,-1.46147,-9.10237,0.17784,-0.29041,0.2121,104.0
2025-10-20,13:12:45.024,0.32272,-0.69861,-0.74464,0.26587,-2.21155,-14.23601,0.18538,-0.28482,0.2121,204.0
2025-10-20,13:12:45.125,0.39379,-0.66054,-0.7509,-4.20879,-5.50188,-14.92368,0.19089,-0.27526,0.2121,304.0
2025-10-20,13:12:45.225,0.3839,-0.61919,-0.75011,-7.83669,-5.01204,-8.9177,0.19443,-0.26513,0.2121,404.0
2025-10-20,13:12:45.325,0.35257,-0.6121,-0.75884,-4.17495,-2.90603,-5.79876,0.19578,-0.25802,0.2121,504.0
2025-10-20,13:12:45.423,0.38689,-0.62123,-0.76088,4.39329,0.36658,-8.1785,0.19796,-0.25402,0.2121,604.0
2025-10-20,13:12:45.524,0.40831,-0.61818,-0.76319,4.14434,-7.17524,-6.35276,0.20045,-0.25149,0.2121,704.0
2025-10-20,13:12:45.624,0.37093,-0.63965,-0.74159,6.88359,-9.0887,-4.71062,0.19821,-0.25174,0.2121,804.0
2025-10-20,13:12:45.725,0.38221,-0.64009,-0.74628,8.71165,-9.29011,-3.96766,0.19625,-0.25405,0.2121,904.0
2025-10-20,13:12:45.824,0.3787,-0.62577,-0.73989,8.04536,-10.8676,-2.14944,0.1919,-0.2578,0.2121,1004.0
2025-10-20,13:12:45.925,0.36288,-0.59329,-0.73687,9.19988,-12.03984,-4.81638,0.18739,-0.26035,0.2121,1104.0
2025-10-20,13:12:46.025,0.43831,-0.54303,-0.73327,14.84275,-16.20513,-9.56297,0.18318,-0.26389,0.2121,1204.0
2025-10-20,13:12:46.124,0.43793,-0.54127,-0.81392,21.71748,-11.52825,-14.87268,0.1818,-0.26874,0.2121,1304.0
2025-10-20,13:12:46.225,0.34879,-0.63275,-0.91779,-5.54458,5.13127,-21.15727,0.18508,-0.26841,0.2121,1404.0
2025-10-20,13:12:46.325,0.52051,-0.95889,-1.16482,-42.10159,49.79568,-57.9887,0.2142,-0.23494,0.2121,1504.0
2025-10-20,13:12:46.424,1.66347,-1.21038,-1.5191,29.97795,-144.51035,67.33801,0.21665,-0.21917,0.2121,1604.0
2025-10-20,13:12:46.525,1.54931,0.03744,-0.60739,263.88309,-223.09391,355.42845,-0.04195,-0.37199,0.2121,1704.0
2025-10-20,13:12:46.625,-0.33015,1.99014,-0.03437,389.7292,-108.7968,499.31,-0.43733,-0.36663,0.2121,1804.0
2025-10-20,13:12:46.723,-0.73887,3.41363,0.55664,424.6228,-400.9124,339.0436,-0.5193,0.06223,0.2121,1904.0
2025-10-20,13:12:46.823,0.93453,7.30254,2.32473,-273.434,-356.7704,-369.2948,-0.27119,0.27447,0.2121,2004.0
2025-10-20,13:12:46.925,2.32699,6.3791,-3.83246,113.7192,-910.0308,94.7044,-0.23681,-0.09743,0.2121,2104.0
2025-10-20,13:12:47.024,-2.01285,4.60477,0.53848,181.66507,98.97987,173.57588,-0.07658,0.41125,0.2121,2204.0
2025-10-20,13:12:47.122,1.16415,2.49033,-0.87647,172.279,347.41301,-34.44141,0.00676,0.29834,0.2121,2304.0
2025-10-20,13:12:47.220,0.39511,1.25333,-1.65072,198.27634,251.64031,68.00475,0.18963,0.16286,0.2121,2404.0
2025-10-20,13:12:47.325,0.68457,0.46515,-1.30065,190.2769,112.64392,44.97182,0.27107,0.04778,0.2121,2504.0
