Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s),timestamp,shot_type
2025-10-20,13:12:44.825,-0.0023461106543942165,0.07506411518571515,0.0058348939059162655,-78.91829847974415,86.12774925586356,-69.67327607249469,0.177,-0.29341,0.2121,4.0,1970-01-01 00:00:00.000,smash
2025-10-20,13:12:44.925,0.016533282836627895,0.060871477221353935,-0.032014792032914983,-80.38994705117271,90.19239582729213,-75.8399495010661,0.17784,-0.29041,0.2121,104.0,1970-01-01 00:00:00.100,smash
2025-10-20,13:12:45.024,0.03174782225128086,0.048732105362350876,-0.051499051156770434,-83.01990990831551,91.83210668443492,-78.7033186439232,0.18538,-0.28482,0.2121,204.0,1970-01-01 00:00:00.200,smash
2025-10-20,13:12:45.125,0.05149379448876259,0.043071492698926024,-0.047547470291887904,-88.0979864797441,89.3036069701492,-78.71992807249464,0.19089,-0.27526,0.2121,304.0,1970-01-01 00:00:00.300,smash
2025-10-20,13:12:45.225,0.03927448275565806,0.02500910280327004,-0.040525095307670754,-90.5394241940298,88.91925982729205,-74.32515550106606,0.19443,-0.26513,0.2121,404.0,1970-01-01 00:00:00.400,smash
2025-10-20,13:12:45.325,0.007600572470353786,-0.02691325564546735,-0.03663362679122658,-86.66215305117267,92.16063182729205,-71.6645083582089,0.19578,-0.25802,0.2121,504.0,1970-01-01 00:00:00.500,smash
2025-10-20,13:12:45.423,0.007980460431811815,-0.1038430865264576,-0.03713967466875412,-81.25416705117267,92.00850354157777,-71.78061635820892,0.19796,-0.25402,0.2121,604.0,1970-01-01 00:00:00.600,smash
2025-10-20,13:12:45.524,0.002096960040885773,-0.20015699522464173,-0.02599333763444289,-77.96878619402982,88.64807668443491,-71.47773978678036,0.20045,-0.25149,0.2121,704.0,1970-01-01 00:00:00.700,smash
2025-10-20,13:12:45.624,-0.024440648510573995,-0.31027682882277274,-0.01573871428054236,-76.77419419402982,84.91856411300634,-69.75130150106607,0.19821,-0.25174,0.2121,804.0,1970-01-01 00:00:00.800,smash
2025-10-20,13:12:45.725,-0.050383131036860894,-0.4302135040271387,-0.007886151124604569,-75.2531704797441,84.37075868443492,-68.13192321535178,0.19625,-0.25405,0.2121,904.0,1970-01-01 00:00:00.900,smash
2025-10-20,13:12:45.824,-0.07373973019480076,-0.5433265862229261,-0.008904815481912078,-75.27266562260124,83.6546192558635,-67.64234235820891,0.1919,-0.2578,0.2121,1004.0,1970-01-01 00:00:01.000,smash
2025-10-20,13:12:45.925,-0.0743261431544091,-0.6481966175926013,-0.00010214268817645796,-73.75159619402982,80.73268068443492,-69.55029007249463,0.18739,-0.26035,0.2121,1104.0,1970-01-01 00:00:01.100,smash
2025-10-20,13:12:46.025,-0.05152027609047024,-0.7612333142962305,-0.022052590646680196,-65.86402933688696,78.61838525586349,-74.20779635820892,0.18318,-0.26389,0.2121,1204.0,1970-01-01 00:00:01.200,smash
2025-10-20,13:12:46.124,-0.08529244811937771,-0.9164731301790059,-0.08216406287302931,-66.90266933688696,81.44584839872063,-77.1833426439232,0.1818,-0.26874,0.2121,1304.0,1970-01-01 00:00:01.300,smash
2025-10-20,13:12:46.225,-0.18872350602442214,-1.230535926071007,-0.2243641426077523,-96.9829439083155,123.46645639872061,-105.01968750106606,0.18508,-0.26841,0.2121,1404.0,1970-01-01 00:00:01.400,smash
