Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-11-05,13:16:11.041,-0.08376,-1.01894,-0.16816,-1.34465,-0.23364,-0.00913,-0.06565,-0.48505,0.2121,4.0
2025-11-05,13:16:11.140,-0.07773,-1.0163,-0.16671,-0.31663,0.88623,-0.18091,-0.06596,-0.48527,0.2121,104.0
2025-11-05,13:16:11.240,-0.09025,-1.01624,-0.1659,-0.90798,-1.31968,0.63936,-0.0659,-0.48581,0.2121,204.0
2025-11-05,13:16:11.341,-0.08967,-1.0226,-0.16343,-1.22058,1.71526,-0.40906,-0.06666,-0.4855,0.2121,304.0
2025-11-05,13:16:11.441,-0.07949,-1.022,-0.16618,-1.19802,1.93843,-0.933,-0.0654,-0.4848,0.2121,404.0
2025-11-05,13:16:11.540,-0.07928,-1.01851,-0.16213,-0.91926,2.25022,0.71022,-0.06489,-0.48228,0.2121,504.0
2025-11-05,13:16:11.640,-0.09041,-1.01836,-0.16452,-0.28843,2.76101,0.98829,-0.0659,-0.48177,0.2121,604.0
2025-11-05,13:16:11.740,-0.08812,-1.01474,-0.16902,-0.55913,6.19717,-0.75799,-0.06573,-0.48177,0.2121,704.0
2025-11-05,13:16:11.840,-0.08985,-1.01264,-0.16933,-0.04189,5.34558,-0.882,-0.06363,-0.48177,0.2121,804.0
2025-11-05,13:16:11.940,-0.08613,-1.01721,-0.17383,1.37446,5.79756,-2.35182,-0.06107,-0.48177,0.2121,904.0
2025-11-05,13:16:12.040,-0.07844,-1.02262,-0.17945,-0.88542,3.66658,-2.21976,-0.05782,-0.48177,0.2121,1004.0
2025-11-05,13:16:12.140,-0.06846,-1.01911,-0.1794,-1.20608,1.01755,-1.33884,-0.05687,-0.4813,0.2121,1104.0
2025-11-05,13:16:12.240,-0.07243,-1.01018,-0.17096,-2.01013,-0.96277,1.18853,-0.05681,-0.48101,0.2121,1204.0
2025-11-05,13:16:12.340,-0.07909,-1.01577,-0.17132,-4.02751,-0.60908,0.96252,-0.0578,-0.47944,0.2121,1304.0
2025-11-05,13:16:12.440,-0.08259,-1.01903,-0.1902,-3.92842,0.20303,-0.56796,-0.05883,-0.47874,0.2121,1404.0
2025-11-05,13:16:12.540,-0.07863,-1.01979,-0.19649,-1.94568,-0.79519,-0.01396,-0.05909,-0.48127,0.2121,1504.0
2025-11-05,13:16:12.640,-0.07862,-1.01699,-0.18336,-0.31582,0.18772,-0.57977,-0.05959,-0.48127,0.2121,1604.0
2025-11-05,13:16:12.741,-0.07867,-1.01599,-0.18684,-0.86931,0.02659,-0.72686,-0.0585,-0.48154,0.2121,1704.0
2025-11-05,13:16:12.840,-0.08085,-1.01587,-0.19596,-2.89717,-1.7064,0.57655,-0.05959,-0.48127,0.2121,1804.0
2025-11-05,13:16:12.940,-0.12038,-1.04184,-0.26411,-5.08132,-9.51812,2.55098,-0.06177,-0.48037,0.2121,1904.0
2025-11-05,13:16:13.040,-0.28169,-1.17229,-0.53934,-5.87813,-52.74521,12.88429,-0.07499,-0.47925,0.2121,2004.0
2025-11-05,13:16:13.141,-0.18333,-1.23529,-0.67817,65.1468,-136.39731,-4.3735,-0.11351,-0.49039,0.2121,2104.0
2025-11-05,13:16:13.241,0.06064,-0.78565,-0.40449,240.69536,-163.40237,-72.94728,-0.10782,-0.51359,0.2121,2204.0
2025-11-05,13:16:13.341,0.27913,0.679,0.16585,395.85527,-96.2676,-232.85482,0.03729,-0.40975,0.2121,2304.0
2025-11-05,13:16:13.440,0.36936,2.34869,1.04364,365.5232,-50.022,-340.2308,0.19013,-0.01616,0.2121,2404.0
2025-11-05,13:16:13.540,0.91695,4.38754,1.97012,-2.35595,-116.16223,-254.26816,0.15327,0.33027,0.2121,2504.0
2025-11-05,13:16:13.641,-0.3523,6.83176,-3.10328,-1304.6516,97.0424,342.216,0.10908,-0.17347,0.2121,2604.0
2025-11-05,13:16:13.740,0.0399,-1.61339,-3.23215,58.82896,-48.93093,25.11093,0.03077,-0.43119,0.2121,2704.0
2025-11-05,13:16:13.840,-0.2782,-1.16556,-0.23212,-17.63599,20.15288,-39.95252,0.01995,-0.4497,0.2121,2804.0
2025-11-05,13:16:13.940,-0.08316,-0.9294,-0.72714,23.11692,-48.18354,34.34916,0.01492,-0.4517,0.2121,2904.0
2025-11-05,13:16:14.040,-0.16644,-0.86759,-0.44146,28.78477,-2.58538,-9.58927,-0.00985,-0.46839,0.2121,3004.0
2025-11-05,13:16:14.140,0.03745,-0.87735,-0.34278,8.52312,29.95862,-11.02957,0.00886,-0.47454,0.2121,3104.0
2025-11-05,13:16:14.240,0.21604,-0.89344,-0.20163,-13.50212,-44.54678,25.10721,0.0005,-0.47798,0.2121,3204.0
2025-11-05,13:16:14.341,0.03587,-0.97496,-0.06818,-12.21548,-60.3531,46.76642,-0.03729,-0.4848,0.2121,3304.0
2025-11-05,13:16:14.440,-0.0019,-1.04641,0.0139,-23.42629,-32.92266,17.8703,-0.08131,-0.48733,0.2121,3404.0
2025-11-05,13:16:14.540,-0.07652,-1.06478,-0.0257,-28.59785,-17.354,-11.17129,-0.0861,-0.47849,0.2121,3504.0
2025-11-05,13:16:14.641,-0.07564,-1.25668,0.0686,-17.0696,-11.33972,-35.49796,-0.06919,-0.47041,0.2121,3604.0
2025-11-05,13:16:14.741,-0.08769,-1.20125,-0.13058,-9.70825,-0.04834,-31.76919,-0.03776,-0.46173,0.2121,3704.0
2025-11-05,13:16:14.840,0.00793,-1.05676,-0.27458,-6.60081,-7.73599,-7.58155,-0.02247,-0.45753,0.2121,3804.0
2025-11-05,13:16:14.940,0.02065,-1.00372,-0.26816,-6.86023,-12.59011,1.41936,-0.02704,-0.4552,0.2121,3904.0
2025-11-05,13:16:15.040,0.00826,-0.98934,-0.29583,-8.28787,-0.81855,3.18282,-0.03005,-0.45324,0.2121,4004.0
2025-11-05,13:16:15.140,-0.03907,-0.98399,-0.32175,-5.63723,-7.29045,10.42886,-0.03892,-0.45147,0.2121,4104.0
2025-11-05,13:16:15.241,-0.09971,-0.99752,-0.35588,-5.42454,-11.33086,5.0966,-0.04873,-0.45147,0.2121,4204.0
2025-11-05,13:16:15.340,-0.09829,-1.02321,-0.42723,-0.17402,-19.57119,1.47734,-0.0571,-0.45124,0.2121,4304.0
2025-11-05,13:16:15.440,-0.24328,-1.14924,-0.58773,24.66863,-73.29126,7.68677,-0.07878,-0.45728,0.2121,4404.0
2025-11-05,13:16:15.541,-0.12209,-1.08322,-0.39935,95.49133,-89.27805,-21.77945,-0.1106,-0.4795,0.2121,4504.0
2025-11-05,13:16:15.641,-0.08376,-1.03607,-0.15068,152.19397,-109.65652,-60.60625,-0.09469,-0.50929,0.2121,4604.0
2025-11-05,13:16:15.740,0.1805,-0.60636,0.1524,233.42988,-63.56287,-123.55788,-0.01352,-0.49249,0.2121,4704.0
2025-11-05,13:16:15.840,0.33313,0.41411,0.32166,325.35938,5.24729,-186.57393,0.10984,-0.34542,0.2121,4804.0
2025-11-05,13:16:15.940,0.24878,1.98837,0.74778,351.2012,-43.5932,-277.0768,0.18809,0.01305,0.2121,4904.0
2025-11-05,13:16:16.040,0.67977,3.13637,1.38723,21.14971,-128.79132,-216.93366,0.16362,0.31916,0.2121,5004.0
2025-11-05,13:16:16.140,-0.12645,6.90367,-1.12445,-1163.95897,55.4317,302.32944,0.14661,-0.02377,0.2121,5104.0
2025-11-05,13:16:16.240,0.17674,0.69754,-6.09275,-369.89782,22.82587,27.93633,0.04419,-0.33658,0.2121,5204.0
2025-11-05,13:16:16.340,-0.40707,-0.98027,-0.37892,82.2011,5.84026,-31.08098,0.01398,-0.37875,0.2121,5304.0
2025-11-05,13:16:16.440,0.16039,-0.8567,-0.82296,59.6844,-64.65132,17.15687,0.01136,-0.4093,0.2121,5404.0
2025-11-05,13:16:16.541,-0.07796,-0.77281,-0.6185,66.81292,-97.20015,38.14611,-0.05,-0.44339,0.2121,5504.0
2025-11-05,13:16:16.641,-0.0759,-0.77974,-0.32551,75.60029,-55.08889,3.85385,-0.0909,-0.4747,0.2121,5604.0
2025-11-05,13:16:16.740,-0.01966,-0.8783,0.01722,65.56414,-31.89382,-2.37652,-0.09696,-0.49599,0.2121,5704.0
2025-11-05,13:16:16.840,0.11805,-0.8708,0.29707,15.60571,-96.01501,14.02987,-0.10908,-0.50601,0.2121,5804.0
2025-11-05,13:16:16.940,0.10419,-1.00589,0.53118,-30.42993,-25.63865,3.85171,-0.11887,-0.50671,0.2121,5904.0
2025-11-05,13:16:17.040,-0.06753,-1.21926,0.48464,-18.79937,9.5592,-25.14587,-0.11009,-0.50399,0.2121,6004.0
2025-11-05,13:16:17.141,-0.15703,-1.2002,0.03131,-16.84402,26.5571,-30.02559,-0.07575,-0.49575,0.2121,6104.0
2025-11-05,13:16:17.241,-0.01045,-1.07634,-0.06908,-9.73162,-6.47754,-3.5119,-0.0606,-0.49238,0.2121,6204.0
2025-11-05,13:16:17.340,-0.02762,-1.02119,-0.05636,-3.64805,-7.13254,11.2443,-0.06689,-0.49249,0.2121,6304.0
2025-11-05,13:16:17.440,-0.1177,-1.00683,-0.05851,-5.7887,-5.26904,11.38548,-0.07777,-0.49339,0.2121,6404.0
2025-11-05,13:16:17.540,-0.1782,-1.02385,-0.1112,-11.4791,-13.29507,7.56598,-0.08863,-0.49238,0.2121,6504.0
2025-11-05,13:16:17.641,-0.25755,-1.11673,-0.2223,-19.04187,-38.38184,10.56468,-0.1005,-0.49061,0.2121,6604.0
2025-11-05,13:16:17.741,-0.66426,-1.48795,-0.77042,18.94922,-206.66895,11.10472,-0.13798,-0.49109,0.2121,6704.0
2025-11-05,13:16:17.840,-0.17426,-0.4558,-0.87847,294.47759,-176.51412,-211.95894,-0.1111,-0.50727,0.2121,6804.0
2025-11-05,13:16:17.941,0.0651,2.49872,0.11998,497.3556,12.0288,-409.4888,0.13169,-0.25149,0.2121,6904.0
2025-11-05,13:16:18.040,0.45672,3.95695,1.39277,362.726,-70.5796,-414.8004,0.15579,0.28836,0.2121,7004.0
2025-11-05,13:16:18.140,0.7298,6.59219,1.52711,-715.92971,-162.13413,187.04043,0.09649,0.30813,0.2121,7104.0
2025-11-05,13:16:18.240,-1.12262,2.1598,-7.01617,-713.18756,101.52759,170.74511,0.04343,-0.43935,0.2121,7204.0
2025-11-05,13:16:18.340,-0.46342,-1.32085,0.01255,101.39363,-18.50046,12.56756,0.00443,-0.47618,0.2121,7304.0
2025-11-05,13:16:18.440,-0.01356,-1.11536,-0.60604,-4.14031,-25.39856,-14.50925,0.02273,-0.47369,0.2121,7404.0
2025-11-05,13:16:18.540,0.00116,-0.82743,-0.29538,-0.98372,-24.83782,44.65777,0.00581,-0.48329,0.2121,7504.0
2025-11-05,13:16:18.640,0.01662,-0.79038,-0.04399,-52.55266,0.23445,58.54002,-0.04015,-0.49238,0.2121,7604.0
2025-11-05,13:16:18.740,-0.0256,-0.88117,0.05369,-99.36497,-13.50132,51.23117,-0.08624,-0.48457,0.2121,7704.0
2025-11-05,13:16:18.840,-0.14601,-1.09197,-0.06819,-121.20894,-60.95735,33.39952,-0.13534,-0.45223,0.2121,7804.0
2025-11-05,13:16:18.940,-0.35519,-1.29149,-0.32898,-84.90168,16.35337,-31.57915,-0.14078,-0.40392,0.2121,7904.0
2025-11-05,13:16:19.040,-0.22152,-1.18706,-0.67063,-18.64629,82.78521,-69.62488,-0.076,-0.3737,0.2121,8004.0
2025-11-05,13:16:19.140,-0.04847,-1.02082,-0.6884,18.29502,4.7083,-30.15335,-0.01095,-0.36919,0.2121,8104.0
2025-11-05,13:16:19.240,-0.0208,-0.91124,-0.56909,11.79976,-11.21565,-3.70193,-0.00354,-0.37572,0.2121,8204.0
2025-11-05,13:16:19.340,-0.02117,-0.87284,-0.50537,4.77437,-16.82549,-0.82671,-0.01165,-0.38108,0.2121,8304.0
2025-11-05,13:16:19.440,-0.0777,-0.87768,-0.51699,-4.62371,-5.88618,-2.51126,-0.01793,-0.38279,0.2121,8404.0
2025-11-05,13:16:19.541,-0.38551,-1.04478,-0.9931,-16.60474,-52.83062,-3.07761,-0.02626,-0.37724,0.2121,8504.0
2025-11-05,13:16:19.640,-0.53291,-1.20108,-1.72466,87.87861,-196.47407,-51.93173,-0.08105,-0.3934,0.2121,8604.0
2025-11-05,13:16:19.740,0.15003,0.0804,-1.44448,403.6013,-139.51557,-223.62485,-0.06246,-0.48154,0.2121,8704.0
2025-11-05,13:16:19.840,0.34023,2.81698,-0.05408,622.1656,13.1292,-278.9836,0.1414,-0.28836,0.2121,8804.0
2025-11-05,13:16:19.941,0.47355,3.73184,1.46879,428.8872,-52.8136,-288.4784,0.17318,0.24263,0.2121,8904.0
2025-11-05,13:16:20.040,0.50426,6.58098,2.00168,-536.22424,-106.33984,-17.11471,0.09721,0.36991,0.2121,9004.0
2025-11-05,13:16:20.140,-0.18715,3.21156,-7.05828,-935.67722,96.68091,116.81643,0.07109,-0.37712,0.2121,9104.0
2025-11-05,13:16:20.241,0.05388,-1.00635,0.56065,159.14194,-51.27214,40.89239,0.04747,-0.47243,0.2121,9204.0
2025-11-05,13:16:20.340,-0.13109,-0.98677,-0.47495,-58.26401,1.9916,-0.56205,0.03986,-0.47338,0.2121,9304.0
2025-11-05,13:16:20.440,-0.10421,-0.86038,-0.5007,-42.29978,-20.95854,48.86271,0.01742,-0.47798,0.2121,9404.0
2025-11-05,13:16:20.541,-0.15883,-0.85553,-0.32398,-52.43181,-24.40518,42.00479,-0.02626,-0.48101,0.2121,9504.0
2025-11-05,13:16:20.641,0.02347,-0.92296,-0.23149,-81.14407,9.66072,19.36106,-0.04899,-0.47268,0.2121,9604.0
2025-11-05,13:16:20.741,0.00053,-1.01636,-0.23487,-116.1405,-38.7887,10.47986,-0.062,-0.44704,0.2121,9704.0
2025-11-05,13:16:20.840,-0.02162,-1.14259,-0.45783,-144.68599,27.19358,-14.66708,-0.05454,-0.3886,0.2121,9804.0
2025-11-05,13:16:20.940,-0.0292,-1.28337,-0.55747,-92.86487,-29.19888,-36.75413,-0.05384,-0.31489,0.2121,9904.0
2025-11-05,13:16:21.041,-0.10047,-1.0395,-0.91701,-2.0625,44.9053,-35.15117,-0.00606,-0.27548,0.2121,10004.0
2025-11-05,13:16:21.140,-0.02456,-0.80716,-0.81147,18.78567,3.29033,-7.43715,0.01655,-0.28179,0.2121,10104.0
2025-11-05,13:16:21.241,0.00516,-0.7604,-0.7331,11.32039,-12.94541,0.0204,0.0101,-0.29113,0.2121,10204.0
2025-11-05,13:16:21.341,-0.05841,-0.73095,-0.69239,7.75854,-20.2834,-0.31243,0.00047,-0.29904,0.2121,10304.0
2025-11-05,13:16:21.440,-0.07549,-0.75605,-0.75915,-2.93262,-20.19719,-7.89184,-0.01263,-0.30073,0.2121,10404.0
2025-11-05,13:16:21.540,-0.51682,-1.09261,-1.45951,9.44399,-116.54495,-7.23691,-0.04116,-0.30401,0.2121,10504.0
2025-11-05,13:16:21.640,-0.40321,-0.86462,-1.92735,214.12214,-198.20061,-108.42538,-0.14039,-0.37092,0.2121,10604.0
2025-11-05,13:16:21.741,0.13123,0.8077,-1.06155,523.5496,-48.3252,-239.652,-0.04056,-0.4841,0.2121,10704.0
2025-11-05,13:16:21.840,0.21758,3.0475,0.36742,611.1112,-27.8124,-253.6856,0.14342,-0.1712,0.2121,10804.0
2025-11-05,13:16:21.940,0.13457,4.01105,1.65996,312.31769,-40.33832,-296.51093,0.12703,0.31768,0.2121,10904.0
2025-11-05,13:16:22.040,0.2975,7.31734,0.26309,-978.23876,-119.79171,111.29267,0.08307,0.21311,0.2121,11004.0
2025-11-05,13:16:22.140,0.66756,0.48217,-5.73544,-338.63327,29.53065,36.93955,0.05407,-0.46406,0.2121,11104.0
2025-11-05,13:16:22.240,-0.4517,-0.97275,1.00313,20.56941,6.5146,3.05935,0.02273,-0.47773,0.2121,11204.0
2025-11-05,13:16:22.341,-0.00014,-0.97277,-0.46773,-31.27507,-2.05928,16.87289,0.0268,-0.47757,0.2121,11304.0
2025-11-05,13:16:22.441,-0.08234,-0.82226,-0.17673,-58.07952,-17.29036,57.96025,-0.00556,-0.48707,0.2121,11404.0
2025-11-05,13:16:22.540,-0.02277,-0.91817,-0.17441,-91.07468,-14.41736,35.92205,-0.04823,-0.48859,0.2121,11504.0
2025-11-05,13:16:22.641,-0.09752,-0.9807,-0.23199,-92.77302,-28.58335,19.0293,-0.06843,-0.47445,0.2121,11604.0
2025-11-05,13:16:22.740,-0.12672,-1.06918,-0.28941,-110.62332,-53.6967,-10.4659,-0.08554,-0.44588,0.2121,11704.0
2025-11-05,13:16:22.840,-0.13593,-1.26617,-0.50685,-96.80859,4.71877,-41.17379,-0.06464,-0.39845,0.2121,11804.0
2025-11-05,13:16:22.941,-0.0011,-1.2528,-0.6238,-34.61052,9.1459,-32.67213,-0.03473,-0.35847,0.2121,11904.0
2025-11-05,13:16:23.040,-0.02808,-1.01985,-0.58711,15.31567,0.82419,-8.81839,-0.02172,-0.3535,0.2121,12004.0
2025-11-05,13:16:23.141,-0.0906,-0.89339,-0.51281,10.61946,-5.43259,-5.47345,-0.02004,-0.36197,0.2121,12104.0
2025-11-05,13:16:23.240,-0.0803,-0.86141,-0.55013,2.22847,-14.36741,-3.1431,-0.02247,-0.36587,0.2121,12204.0
2025-11-05,13:16:23.340,-0.04938,-0.85237,-0.58288,-8.75032,-16.20835,-4.09113,-0.02913,-0.36407,0.2121,12304.0
2025-11-05,13:16:23.440,-0.27962,-0.94651,-0.82449,-17.74717,-26.94141,-2.5687,-0.03762,-0.3583,0.2121,12404.0
2025-11-05,13:16:23.540,-0.63159,-1.20203,-1.63648,30.05852,-173.2355,-26.20555,-0.09242,-0.35956,0.2121,12504.0
