Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-11-05,13:16:48.776,0.04947,-1.00489,-0.27159,-2.55234,-0.89106,-0.38329,0.03232,-0.44213,0.2121,4.0
2025-11-05,13:16:48.876,0.04615,-1.00715,-0.29015,-1.08926,-3.8696,0.00215,0.03077,-0.44215,0.2121,104.0
2025-11-05,13:16:48.976,0.04369,-1.00013,-0.2833,1.42039,-3.9824,-1.59597,0.0303,-0.44213,0.2121,204.0
2025-11-05,13:16:49.076,0.05651,-1.00471,-0.2688,0.91443,-3.10906,-3.36964,0.03053,-0.44191,0.2121,304.0
2025-11-05,13:16:49.176,0.07358,-0.99923,-0.26665,1.27698,-2.69092,-2.17896,0.03257,-0.44188,0.2121,404.0
2025-11-05,13:16:49.276,0.06061,-1.00067,-0.25705,-0.30051,-3.05508,0.18413,0.031,-0.44215,0.2121,504.0
2025-11-05,13:16:49.375,0.06391,-1.006,-0.26947,-1.37849,0.4552,-1.00762,0.0303,-0.44188,0.2121,604.0
2025-11-05,13:16:49.476,0.06389,-1.00329,-0.27117,0.45601,0.41733,-0.05529,0.03156,-0.44213,0.2121,704.0
2025-11-05,13:16:49.576,0.06092,-1.00414,-0.26584,-0.55027,0.62117,0.44019,0.03081,-0.44238,0.2121,804.0
2025-11-05,13:16:49.676,0.06123,-1.00291,-0.27216,-0.86367,0.95391,0.75316,0.03053,-0.44215,0.2121,904.0
2025-11-05,13:16:49.776,0.0572,-1.00459,-0.27908,-1.27053,1.19561,1.74843,0.02954,-0.44213,0.2121,1004.0
2025-11-05,13:16:49.876,0.05136,-1.00084,-0.27456,0.16597,0.11763,1.91216,0.02727,-0.44238,0.2121,1104.0
2025-11-05,13:16:49.976,0.04512,-0.99973,-0.26822,0.07573,1.07556,0.21527,0.02677,-0.44263,0.2121,1204.0
2025-11-05,13:16:50.075,0.04756,-1.00395,-0.27415,-0.6687,-0.2425,0.2813,0.02564,-0.44238,0.2121,1304.0
