Date,Time,Accel_X (g),Accel_Y (g),Accel_Z (g),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (G),Mag_Y (G),Mag_Z (G),Timestamp (s)
2025-11-05,13:14:07.164,0.12209,-0.99943,-0.2404,-0.25459,2.0915,1.09566,0.05524,-0.4242,0.2121,4.0
2025-11-05,13:14:07.265,0.12451,-1.0038,-0.24409,-0.3271,0.66064,-0.59534,0.05606,-0.42395,0.2121,104.0
2025-11-05,13:14:07.365,0.13949,-0.99969,-0.24767,-0.93618,2.22202,-1.34904,0.05687,-0.42397,0.2121,204.0
2025-11-05,13:14:07.465,0.1379,-1.00015,-0.24659,-1.62422,-1.45745,0.83315,0.05702,-0.4242,0.2121,304.0
2025-11-05,13:14:07.565,0.13286,-0.99455,-0.24595,-1.83047,-1.58796,0.56474,0.05501,-0.42397,0.2121,404.0
2025-11-05,13:14:07.665,0.14227,-1.00866,-0.243,-0.48823,0.23848,-1.88264,0.05454,-0.42395,0.2121,504.0
2025-11-05,13:14:07.765,0.13762,-1.00609,-0.24404,2.35657,3.26294,-2.1736,0.05687,-0.42303,0.2121,604.0
2025-11-05,13:14:07.865,0.14456,-1.00944,-0.23575,1.29631,0.55027,1.09029,0.05707,-0.42319,0.2121,704.0
2025-11-05,13:14:07.965,0.12431,-1.09996,-0.21471,7.40083,-4.73569,0.45952,0.05571,-0.4249,0.2121,804.0
2025-11-05,13:14:08.065,0.15378,-1.20784,-0.14085,27.17102,11.27527,-1.15739,0.05555,-0.43026,0.2121,904.0
2025-11-05,13:14:08.165,0.51148,-1.01806,0.46786,88.33623,56.00251,-18.82155,0.06316,-0.44611,0.2121,1004.0
2025-11-05,13:14:08.265,0.70525,-0.24016,0.79691,49.92398,320.42938,-34.84864,0.09747,-0.44566,0.2121,1104.0
2025-11-05,13:14:08.364,0.64301,0.16073,0.24397,-221.7969,230.44973,-96.02745,0.12563,-0.42094,0.2121,1204.0
2025-11-05,13:14:08.465,1.23969,0.56082,-0.45232,-294.75989,391.61072,-184.77391,0.22367,-0.33743,0.2121,1304.0
2025-11-05,13:14:08.565,1.69284,0.77886,-0.59244,-326.25447,240.92981,-243.79283,0.30323,-0.19136,0.2121,1404.0
2025-11-05,13:14:08.664,1.99684,1.31441,-1.14586,-400.53183,37.95104,-218.51653,0.32876,-0.06186,0.2121,1504.0
2025-11-05,13:14:08.765,1.70352,2.17698,-1.88877,-368.50157,-56.83078,-231.59349,0.33493,0.0578,0.2121,1604.0
2025-11-05,13:14:08.865,1.47512,4.23102,-3.21414,260.7948,-154.714,-351.2712,0.28053,0.28962,0.2121,1704.0
2025-11-05,13:14:08.965,1.1375,6.93145,2.1168,1303.84614,179.27928,92.98341,0.22189,-0.04289,0.2121,1804.0
2025-11-05,13:14:09.065,-0.42945,1.00634,0.89999,-288.65904,-252.32133,135.99987,0.12044,-0.3434,0.2121,1904.0
2025-11-05,13:14:09.165,-0.17501,-0.68174,-1.20723,76.29961,17.45391,-52.49539,0.04265,-0.31023,0.2121,2004.0
2025-11-05,13:14:09.265,0.2392,-0.75915,-0.57469,90.80237,-68.49595,-26.35962,0.04949,-0.35173,0.2121,2104.0
2025-11-05,13:14:09.365,0.12922,-0.78151,-0.60515,88.33704,-168.60535,-21.21203,0.00956,-0.39856,0.2121,2204.0
2025-11-05,13:14:09.465,0.02707,-0.93892,-0.43729,38.24487,-17.60376,-3.44426,-0.02314,-0.42695,0.2121,2304.0
2025-11-05,13:14:09.564,-0.06247,-0.91313,-0.27417,33.56477,-80.98938,7.69697,-0.04475,-0.44867,0.2121,2404.0
